to_customer,to_dragon
AE,LI
AF,AX
AU,MC
AZ,AL
BD,AM
BH,AD
BT,AT
BV,ME
CC,MK
CK,NO
CX,NL
FJ,PL
FM,SM
IL,BA
IN,BY
IQ,BE
JO,BV
KG,CY
KI,RE
KR,IS
KW,HR
KZ,BG
LA,CZ
LB,DK
LK,IE
MH,RO
MM,GE
MN,FR
MO,EE
MV,FI
MY,FO
NC,SK
NF,SJ
NP,DE
NR,RS
NU,ES
NZ,SI
OM,GI
PF,PT
PG,CH
PK,GR
PN,TR
PS,GL
PW,SE
QA,GP
SA,GG
SB,UK
SG,VA
SX,HU
TH,JE
TJ,IT
TK,ET
TL,XK
TM,LV
TO,MA
TV,NG
TW,IM
UM,LT
UY,LU
UZ,MT
VN,YT
VU,ZA
WF,US
WS,UA
YE,MD
CN,PA
HK,VI
,TC
,TT
,PM
,MF
,LC
,KN
,BL
,PR
,NI
,NL
,MS
,MX
,MQ
,JM
,HN
,HT
,GT
,GP
,GD
,FK
,SV
,DO
,DM
,CW
,CR
,KY
,BQ
,CA
,IO
,BM
,BZ
,BB
,BS
,AW
,AG
,AI
,GB
